Attr_A_001, color: is black, 颜色: 是黑色的
Attr_A_093, habit: is active, 习性: 是活跃的
Attr_A_094, habit: is nocturnal, 习性: 是夜间活动的
Attr_A_095, habit: can hibernate, 习性: 会冬眠
Attr_A_096, habit: is the predator, 习性: 是捕食者
Attr_A_097, habit: is the scavenger, 习性: 是食腐动物
Attr_A_098, habit: lives in groups, 习性: 是群居动物
Attr_A_099, habit: lives in solitary, 习性: 是独行动物
Attr_A_100, habit: lives in nests, 习性: 是巢居动物
Attr_A_101, habit: is noisy, 习性: 是吵闹的
Attr_A_102, habit: is quiet, 习性: 是安静的
Attr_A_103, habit: is warm-blooded, 习性: 是恒温动物
Attr_A_104, habit: is cold-blooded, 习性: 是冷血动物
Attr_A_105, habit: is venomous, 习性: 是有毒的
Attr_A_106, habit: can milk, 习性: 能产奶
Attr_A_107, habitat: lives in the arctic, 栖息地: 生活在北极
Attr_A_108, habitat: lives in coastal places, 栖息地: 生活在沿海陆地
Attr_A_109, habitat: lives in the desert, 栖息地: 生活在沙漠
Attr_A_110, habitat: lives in the bush, 栖息地: 生活在灌木从中
Attr_A_111, habitat: lives in the plains, 栖息地: 生活在平原
Attr_A_112, habitat: lives in the forest, 栖息地: 生活在森林中
Attr_A_113, habitat: lives in fields, 栖息地: 生活在田野里
Attr_A_114, habitat: lives in the jungle, 栖息地: 生活在丛林中
Attr_A_115, habitat: lives in mountains, 栖息地: 生活在山中
Attr_A_116, habitat: lives in the ocean, 栖息地: 生活在海洋里
Attr_A_117, habitat: lives on the ground, 栖息地: 生活在地面上
Attr_A_118, habitat: lives in water, 栖息地: 生活在水里
Attr_A_119, habitat: lives in trees, 栖息地: 生活在树上
Attr_A_120, habitat: lives in the cave, 栖息地: 生活在洞穴里
Attr_A_121, habitat: is domestic, 栖息地: 是家养动物
Attr_A_122, habitat: is endangered, 栖息地: 是濒临灭绝的动物
Attr_A_123, habitat: lives in the traveling, 栖息地: 是迁徙动物
